year,species,total_biomC
390,CASTdent,0
400,CASTdent,0
410,CASTdent,0
420,CASTdent,0
430,CASTdent,0
440,CASTdent,0
450,CASTdent,0
460,CASTdent,0
470,CASTdent,0
480,CASTdent,0
490,CASTdent,0
500,CASTdent,0
0,FAGUgran,0
10,FAGUgran,0.02
20,FAGUgran,0.03
30,FAGUgran,0.04
40,FAGUgran,0.06
50,FAGUgran,0.08
60,FAGUgran,0.1
70,FAGUgran,0.14
80,FAGUgran,0.18
90,FAGUgran,0.23
100,FAGUgran,0.3
110,FAGUgran,0.42
120,FAGUgran,0.47
130,FAGUgran,0.56
140,FAGUgran,0.71
150,FAGUgran,0.82
160,FAGUgran,0.85
170,FAGUgran,1.14
180,FAGUgran,1.46
190,FAGUgran,1.69
200,FAGUgran,1.58
210,FAGUgran,1.9
220,FAGUgran,2.09
230,FAGUgran,2.09
240,FAGUgran,2.5
250,FAGUgran,2.11
260,FAGUgran,2.47
270,FAGUgran,2.52
280,FAGUgran,2.83
290,FAGUgran,2.52
300,FAGUgran,2.91
310,FAGUgran,3.62
320,FAGUgran,3.88
330,FAGUgran,4.19
340,FAGUgran,4.57
350,FAGUgran,4.91
360,FAGUgran,5.27
370,FAGUgran,5.2
380,FAGUgran,4.83
390,FAGUgran,4.8
400,FAGUgran,4.75
410,FAGUgran,5.26
420,FAGUgran,5
430,FAGUgran,5.31
440,FAGUgran,5.12
450,FAGUgran,5.15
460,FAGUgran,5.65
470,FAGUgran,5.76
480,FAGUgran,6.01
490,FAGUgran,6.2
500,FAGUgran,5.6
0,LIRItuli,0.33
10,LIRItuli,7.82
20,LIRItuli,12.18
30,LIRItuli,17.3
40,LIRItuli,24.75
50,LIRItuli,32.27
60,LIRItuli,39.3
70,LIRItuli,46.48
80,LIRItuli,52.18
90,LIRItuli,53.52
100,LIRItuli,54.98
110,LIRItuli,50.53
120,LIRItuli,50.14
130,LIRItuli,43.19
140,LIRItuli,40.17
150,LIRItuli,33.48
160,LIRItuli,30.34
170,LIRItuli,20.94
180,LIRItuli,20.27
190,LIRItuli,16.85
200,LIRItuli,14.69
210,LIRItuli,16.17
220,LIRItuli,14.36
230,LIRItuli,16.72
240,LIRItuli,16.61
250,LIRItuli,13.73
260,LIRItuli,15.21
270,LIRItuli,16.27
280,LIRItuli,17.35
290,LIRItuli,16.18
300,LIRItuli,17.13
310,LIRItuli,19.21
320,LIRItuli,18.75
330,LIRItuli,15.62
340,LIRItuli,17.44
350,LIRItuli,18.47
360,LIRItuli,20.19
370,LIRItuli,21.01
380,LIRItuli,19.92
390,LIRItuli,18.3
400,LIRItuli,21.01
410,LIRItuli,22.72
420,LIRItuli,22.39
430,LIRItuli,22.32
440,LIRItuli,21.17
450,LIRItuli,22.95
460,LIRItuli,25.28
470,LIRItuli,25.12
480,LIRItuli,26.03
490,LIRItuli,26.64
500,LIRItuli,25.41
0,PRUNsero,0.04
10,PRUNsero,0.41
20,PRUNsero,0.62
30,PRUNsero,0.91
40,PRUNsero,1.3
50,PRUNsero,1.77
60,PRUNsero,2.24
70,PRUNsero,3
80,PRUNsero,3.85
90,PRUNsero,4.78
100,PRUNsero,5.67
110,PRUNsero,6.31
120,PRUNsero,7.52
130,PRUNsero,8.16
140,PRUNsero,9.6
150,PRUNsero,11.95
160,PRUNsero,13.39
170,PRUNsero,13.85
180,PRUNsero,13.99
190,PRUNsero,12.61
200,PRUNsero,11.81
210,PRUNsero,12.56
220,PRUNsero,10.49
230,PRUNsero,10.05
240,PRUNsero,8.97
250,PRUNsero,9.11
260,PRUNsero,6.53
270,PRUNsero,6.41
280,PRUNsero,5.5
290,PRUNsero,5.09
300,PRUNsero,5.23
310,PRUNsero,5.97
320,PRUNsero,6.4
330,PRUNsero,4.51
340,PRUNsero,3.3
350,PRUNsero,3.67
360,PRUNsero,4.16
370,PRUNsero,3.27
380,PRUNsero,3.13
390,PRUNsero,3.63
